                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                  3.272,                 1.9418,                 1.8357,                0.60446,                0.48352,                0.54789,                0.24277,                 3.0515,                 1.7152,                  1.874,              0.0083665,              0.0083665,              0.0083665
                     35,                 3.2551,                 1.9321,                 1.8233,                 0.6026,                 0.4751,                0.55587,                0.24342,                 3.0234,                  1.699,                 1.8626,               0.008317,               0.008317,               0.008317
                     36,                  3.213,                  1.912,                 1.8179,                0.61126,                  0.493,                0.56187,                0.24884,                 3.0202,                  1.694,                  1.864,              0.0082675,              0.0082675,              0.0082675
                     37,                 3.1906,                 1.8994,                 1.8144,                0.59262,                 0.5135,                0.56764,                 0.2447,                  3.004,                 1.6909,                 1.8554,               0.008218,               0.008218,               0.008218
                     38,                 3.2031,                 1.8955,                 1.8149,                 0.6096,                0.48769,                0.56117,                0.25557,                 2.9461,                 1.6753,                 1.8508,              0.0081685,              0.0081685,              0.0081685
                     39,                 3.1874,                 1.8815,                 1.8101,                0.65056,                0.52002,                0.58374,                0.25957,                 2.9382,                 1.6544,                 1.8495,               0.008119,               0.008119,               0.008119
                     40,                 3.1436,                 1.8762,                 1.8018,                0.67074,                0.48867,                0.58763,                0.26145,                 2.9294,                 1.6543,                 1.8447,              0.0080695,              0.0080695,              0.0080695
                     41,                 3.1555,                 1.8669,                 1.8002,                0.68063,                0.50136,                0.59329,                0.26882,                 2.9437,                 1.6459,                  1.837,                0.00802,                0.00802,                0.00802
                     42,                 3.1366,                 1.8511,                  1.796,                0.67986,                0.50654,                0.59734,                0.26971,                 2.9303,                 1.6267,                 1.8279,              0.0079705,              0.0079705,              0.0079705
                     43,                 3.1125,                 1.8353,                 1.7881,                0.65349,                 0.5351,                0.60856,                0.27614,                 2.8603,                 1.6195,                  1.818,               0.007921,               0.007921,               0.007921
                     44,                 3.0928,                 1.8256,                 1.7892,                0.66263,                0.54622,                0.61073,                 0.2768,                 2.8281,                 1.6019,                 1.8113,              0.0078715,              0.0078715,              0.0078715
                     45,                 3.0978,                 1.8127,                 1.7838,                0.65783,                0.54784,                0.60827,                0.27643,                 2.8036,                  1.594,                 1.7999,               0.007822,               0.007822,               0.007822
                     46,                 3.0753,                 1.7985,                 1.7765,                0.64822,                 0.5595,                 0.6176,                0.28128,                 2.7855,                 1.5867,                 1.7935,              0.0077725,              0.0077725,              0.0077725
                     47,                 3.0325,                 1.7978,                 1.7701,                0.65844,                0.56163,                0.62857,                 0.2882,                 2.7696,                 1.5718,                 1.7862,               0.007723,               0.007723,               0.007723
                     48,                 3.0273,                 1.7926,                 1.7715,                 0.6714,                0.55708,                0.63428,                0.28908,                  2.739,                 1.5596,                 1.7798,              0.0076735,              0.0076735,              0.0076735
                     49,                  3.012,                 1.7796,                 1.7664,                0.64575,                0.56489,                0.63586,                0.28915,                 2.7141,                 1.5514,                 1.7753,               0.007624,               0.007624,               0.007624
                     50,                 3.0394,                 1.7739,                  1.761,                0.65716,                0.57773,                0.63995,                0.29445,                 2.7125,                 1.5479,                 1.7738,              0.0075745,              0.0075745,              0.0075745
                     51,                 3.0116,                 1.7636,                 1.7579,                0.64335,                0.57245,                0.63855,                0.29994,                 2.7006,                 1.5392,                 1.7691,               0.007525,               0.007525,               0.007525
                     52,                 2.9887,                 1.7592,                 1.7563,                 0.6444,                0.59947,                0.64506,                0.29938,                  2.698,                  1.533,                 1.7668,              0.0074755,              0.0074755,              0.0074755
                     53,                 2.9837,                 1.7409,                 1.7496,                0.66381,                0.58789,                0.65078,                0.30397,                 2.6834,                  1.525,                 1.7637,               0.007426,               0.007426,               0.007426
                     54,                 2.9806,                 1.7331,                 1.7381,                0.65819,                0.60411,                 0.6543,                0.31047,                 2.6606,                 1.5144,                 1.7587,              0.0073765,              0.0073765,              0.0073765
                     55,                 2.9445,                 1.7233,                 1.7392,                0.68709,                0.57502,                 0.6556,                0.31023,                 2.6509,                  1.505,                 1.7539,               0.007327,               0.007327,               0.007327
                     56,                 2.9561,                  1.718,                 1.7347,                0.71405,                0.57587,                0.66397,                0.31895,                 2.6412,                 1.4977,                 1.7516,              0.0072775,              0.0072775,              0.0072775
                     57,                 2.9123,                 1.7018,                 1.7279,                0.69537,                0.58912,                0.66743,                0.31747,                 2.6345,                 1.4929,                 1.7494,               0.007228,               0.007228,               0.007228
                     58,                 2.9217,                 1.7069,                 1.7286,                 0.6984,                0.58695,                0.66876,                0.31977,                 2.6259,                 1.4883,                 1.7468,              0.0071785,              0.0071785,              0.0071785
                     59,                 2.8969,                 1.6938,                 1.7295,                 0.7158,                0.59369,                0.67107,                0.32368,                 2.6053,                 1.4799,                  1.742,               0.007129,               0.007129,               0.007129
                     60,                 2.8794,                 1.6746,                  1.717,                0.72889,                0.59571,                0.67682,                0.32839,                 2.5892,                 1.4715,                 1.7374,              0.0070795,              0.0070795,              0.0070795
                     61,                 2.8652,                 1.6725,                 1.7144,                0.72882,                0.59209,                0.67954,                 0.3323,                 2.5793,                 1.4627,                 1.7334,                0.00703,                0.00703,                0.00703
