                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                  9.068,                 4.4521,                 3.9988,                0.00245,                0.30215,                0.00676,                0.00195,                 7.8858,                 3.7171,                 3.7679,              0.0033297,              0.0033297,              0.0033297
                      1,                 5.9605,                 3.5863,                 2.9866,                 0.4628,                0.05973,                0.02691,                0.00814,                 5.3655,                 3.4596,                 2.8797,              0.0066521,              0.0066521,              0.0066521
                      2,                 4.7345,                 3.0607,                 2.4726,                0.46343,                0.10846,                0.05268,                0.01907,                 4.9684,                 3.2403,                 2.6433,              0.0099634,              0.0099634,              0.0099634
                      3,                 4.4056,                  2.852,                 2.3049,                0.31638,                0.16227,                0.08507,                 0.0296,                 4.4901,                 2.8131,                 2.4422,              0.0099505,              0.0099505,              0.0099505
                      4,                 4.1983,                 2.7238,                  2.217,                0.18918,                0.23467,                0.14993,                0.04816,                 4.1792,                  2.663,                 2.3094,              0.0099505,              0.0099505,              0.0099505
                      5,                 4.0873,                 2.6202,                 2.1654,                0.24642,                0.18548,                0.14685,                0.04871,                 4.1809,                 2.6325,                 2.3347,               0.009934,               0.009934,               0.009934
                      6,                 3.9938,                 2.5471,                 2.1224,                0.29971,                0.23922,                0.19814,                0.06502,                 4.0645,                 2.4886,                 2.2412,              0.0099175,              0.0099175,              0.0099175
                      7,                 3.9126,                 2.4973,                  2.093,                0.27474,                0.21637,                0.20396,                0.07454,                 3.9916,                 2.4283,                 2.2279,               0.009901,               0.009901,               0.009901
                      8,                  3.847,                 2.4528,                 2.0622,                0.24862,                0.28573,                0.23569,                0.07961,                 3.9569,                 2.3665,                 2.1914,              0.0098845,              0.0098845,              0.0098845
                      9,                    3.8,                 2.4083,                 2.0427,                 0.3212,                0.28241,                0.25081,                0.09137,                 3.7327,                 2.2617,                 2.1435,               0.009868,               0.009868,               0.009868
                     10,                 3.7324,                 2.3767,                 2.0209,                0.28446,                0.29538,                0.24744,                0.08927,                 3.8571,                  2.258,                 2.1324,              0.0098515,              0.0098515,              0.0098515
                     11,                 3.7286,                 2.3462,                 2.0056,                 0.3122,                0.31163,                 0.2653,                0.09769,                 3.7354,                 2.2052,                 2.1308,               0.009835,               0.009835,               0.009835
                     12,                 3.7115,                 2.3228,                 1.9776,                0.33894,                0.31426,                0.27901,                0.10277,                 3.8391,                 2.2285,                 2.1084,              0.0098185,              0.0098185,              0.0098185
                     13,                 3.6832,                  2.293,                 1.9753,                0.32293,                0.32043,                0.27449,                0.10512,                 3.6895,                 2.2179,                 2.1007,               0.009802,               0.009802,               0.009802
                     14,                  3.676,                 2.2689,                 1.9585,                0.28367,                0.32416,                0.27182,                 0.0942,                 3.8145,                 2.2351,                 2.1216,              0.0097855,              0.0097855,              0.0097855
                     15,                  3.603,                 2.2557,                 1.9477,                0.30533,                0.37144,                0.32814,                0.12421,                 3.6233,                 2.1218,                 2.0365,               0.009769,               0.009769,               0.009769
                     16,                 3.6198,                 2.2334,                 1.9412,                0.37168,                0.33832,                 0.3202,                 0.1253,                 3.5604,                 2.1138,                 2.0542,              0.0097525,              0.0097525,              0.0097525
                     17,                 3.5873,                 2.2097,                 1.9368,                0.38225,                0.37261,                0.37057,                0.14292,                 3.5212,                 2.0977,                 2.0303,               0.009736,               0.009736,               0.009736
                     18,                 3.5151,                 2.1968,                 1.9299,                0.42256,                0.38053,                0.39008,                0.15148,                 3.6058,                 2.0262,                 2.0307,              0.0097195,              0.0097195,              0.0097195
                     19,                 3.5376,                 2.1715,                 1.9143,                0.40685,                0.38698,                0.38808,                 0.1538,                 3.5394,                 2.0326,                 2.0076,               0.009703,               0.009703,               0.009703
                     20,                 3.5368,                 2.1578,                 1.9067,                0.47509,                0.40592,                0.42014,                 0.1623,                 3.4574,                 1.9699,                  1.996,              0.0096865,              0.0096865,              0.0096865
                     21,                 3.5103,                 2.1291,                  1.905,                 0.4098,                0.40915,                0.40597,                 0.1532,                  3.432,                 2.0001,                 1.9829,                0.00967,                0.00967,                0.00967
                     22,                 3.4722,                 2.1376,                 1.8929,                0.54063,                0.38804,                0.44181,                0.17288,                  3.394,                 1.9489,                 1.9882,              0.0096535,              0.0096535,              0.0096535
                     23,                 3.4438,                 2.1003,                 1.8815,                0.48236,                0.42957,                0.44731,                0.17643,                 3.3544,                 1.9394,                 1.9669,               0.009637,               0.009637,               0.009637
                     24,                 3.4495,                  2.097,                 1.8804,                0.46025,                0.42927,                0.45366,                0.18216,                 3.2629,                  1.926,                 1.9611,              0.0096205,              0.0096205,              0.0096205
                     25,                 3.4628,                 2.0797,                 1.8738,                0.48064,                0.40939,                0.44048,                0.17862,                 3.3438,                 1.9188,                 1.9526,               0.009604,               0.009604,               0.009604
                     26,                 3.4303,                 2.0707,                 1.8727,                0.45562,                0.44386,                 0.4562,                0.18583,                 3.2725,                 1.8712,                 1.9355,              0.0095875,              0.0095875,              0.0095875
                     27,                 3.4014,                 2.0582,                 1.8659,                0.54791,                0.41945,                0.46488,                0.18841,                 3.2706,                 1.8719,                 1.9253,               0.009571,               0.009571,               0.009571
                     28,                 3.3822,                 2.0356,                 1.8598,                0.50528,                0.42543,                0.47058,                0.19834,                 3.2149,                 1.8422,                 1.9091,              0.0095545,              0.0095545,              0.0095545
                     29,                 3.3641,                 2.0225,                 1.8465,                0.48728,                0.45436,                0.47312,                0.20042,                 3.1562,                   1.81,                 1.8947,               0.009538,               0.009538,               0.009538
                     30,                 3.3371,                   2.02,                 1.8528,                0.51613,                0.48103,                0.48988,                0.20372,                 3.1505,                 1.8289,                 1.8848,              0.0095215,              0.0095215,              0.0095215
                     31,                 3.3119,                 1.9965,                 1.8401,                0.55565,                0.44459,                0.51071,                0.21665,                 3.1067,                 1.8107,                  1.889,               0.009505,               0.009505,               0.009505
                     32,                 3.2936,                 1.9821,                 1.8391,                0.55847,                0.45992,                0.51207,                0.21884,                 3.0525,                 1.7787,                 1.8654,              0.0094885,              0.0094885,              0.0094885
                     33,                  3.273,                 1.9811,                 1.8296,                0.53668,                0.45395,                0.50662,                0.21282,                 3.0185,                 1.7751,                   1.87,               0.009472,               0.009472,               0.009472
                     34,                 3.2734,                 1.9656,                 1.8307,                0.53283,                0.47435,                 0.5072,                0.21944,                 3.0607,                 1.7546,                 1.8718,              0.0094555,              0.0094555,              0.0094555
                     35,                 3.2794,                 1.9478,                  1.815,                0.54095,                 0.4655,                0.52431,                0.22408,                  3.039,                  1.738,                 1.8646,               0.009439,               0.009439,               0.009439
                     36,                 3.2472,                 1.9416,                 1.8193,                 0.5115,                 0.4923,                0.50515,                0.22398,                 2.9937,                 1.7355,                 1.8514,              0.0094225,              0.0094225,              0.0094225
