                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 8.9189,                  4.499,                 4.0101,                0.00208,                0.33907,                0.00783,                0.00209,                 7.9638,                 3.7615,                 3.7034,              0.0033297,              0.0033297,              0.0033297
                      1,                 5.8741,                 3.5788,                 3.0134,                0.48476,                0.09936,                0.04011,                0.01239,                 5.1827,                 3.2366,                 2.8967,              0.0066301,              0.0066301,              0.0066301
                      2,                 4.6753,                 3.0417,                 2.4924,                0.48304,                0.12724,                0.06905,                0.02433,                 4.6152,                 2.9577,                 2.5685,              0.0098974,              0.0098974,              0.0098974
                      3,                 4.3951,                 2.8484,                 2.3319,                0.34246,                 0.1429,                0.09553,                0.03342,                 4.3862,                 2.7695,                 2.4185,              0.0098515,              0.0098515,              0.0098515
                      4,                 4.1786,                 2.7115,                  2.229,                0.22213,                0.20995,                0.14124,                0.04894,                 4.1481,                 2.6007,                 2.3772,              0.0098515,              0.0098515,              0.0098515
                      5,                 4.0383,                 2.6094,                  2.165,                0.37769,                0.18679,                 0.1447,                0.04846,                 4.0106,                 2.5619,                 2.2645,               0.009802,               0.009802,               0.009802
                      6,                 3.9485,                 2.5395,                 2.1248,                0.34425,                0.21179,                0.17346,                0.06052,                 3.9165,                 2.5013,                 2.2573,              0.0097525,              0.0097525,              0.0097525
                      7,                  3.871,                 2.4855,                 2.0899,                0.26984,                0.20491,                 0.1855,                0.06445,                 3.9236,                 2.4503,                 2.2502,               0.009703,               0.009703,               0.009703
                      8,                 3.7993,                 2.4489,                 2.0662,                0.23043,                 0.2886,                0.21532,                0.07943,                 3.7347,                 2.3383,                 2.1755,              0.0096535,              0.0096535,              0.0096535
                      9,                 3.7332,                  2.397,                  2.039,                0.28343,                0.28785,                0.23876,                0.09275,                 3.6284,                 2.2875,                 2.1315,               0.009604,               0.009604,               0.009604
                     10,                 3.7249,                 2.3656,                  2.019,                0.28534,                0.27874,                0.24767,                0.08938,                 3.7275,                 2.2843,                 2.1355,              0.0095545,              0.0095545,              0.0095545
                     11,                 3.6898,                  2.324,                 2.0074,                0.28066,                0.30907,                0.23449,                0.08954,                 3.7682,                 2.2379,                 2.1224,               0.009505,               0.009505,               0.009505
                     12,                 3.6909,                 2.2959,                  1.985,                 0.3198,                0.31881,                 0.2895,                0.10502,                 3.7502,                  2.205,                 2.0831,              0.0094555,              0.0094555,              0.0094555
                     13,                 3.6504,                 2.2708,                 1.9834,                0.29382,                0.31839,                0.28097,                 0.1102,                 3.6383,                 2.1942,                 2.0724,               0.009406,               0.009406,               0.009406
                     14,                 3.6186,                  2.237,                 1.9653,                0.31499,                0.31015,                0.31811,                0.11594,                 3.6073,                 2.1356,                 2.1226,              0.0093565,              0.0093565,              0.0093565
