                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                 3.3108,                 1.9229,                 1.7812,                0.60145,                0.45839,                0.53771,                0.23659,                   3.06,                 1.7214,                 1.8177,              0.0083665,              0.0083665,              0.0083665
                     35,                 3.2873,                 1.9098,                 1.7705,                0.58667,                0.47372,                0.55182,                0.23716,                 3.0989,                 1.7289,                 1.8054,               0.008317,               0.008317,               0.008317
                     36,                 3.2611,                 1.8975,                 1.7638,                0.59623,                0.48574,                0.55728,                0.25067,                 3.0693,                 1.7093,                 1.7957,              0.0082675,              0.0082675,              0.0082675
                     37,                 3.2325,                 1.8844,                 1.7642,                0.63699,                0.46419,                0.56658,                0.25626,                 3.0417,                 1.6892,                 1.7991,               0.008218,               0.008218,               0.008218
                     38,                 3.2431,                 1.8792,                 1.7619,                 0.6026,                0.50071,                0.58035,                0.26106,                  3.001,                 1.6773,                 1.7805,              0.0081685,              0.0081685,              0.0081685
                     39,                 3.2286,                 1.8629,                  1.755,                0.66307,                0.48615,                0.59156,                0.26367,                 3.0056,                 1.6591,                  1.786,               0.008119,               0.008119,               0.008119
                     40,                 3.1794,                 1.8548,                 1.7519,                0.64324,                  0.492,                0.58935,                0.26517,                 2.9672,                 1.6555,                 1.7772,              0.0080695,              0.0080695,              0.0080695
                     41,                 3.1986,                 1.8448,                 1.7445,                0.61288,                0.52673,                0.58742,                0.26199,                 2.9649,                 1.6443,                 1.7732,                0.00802,                0.00802,                0.00802
                     42,                 3.1428,                 1.8335,                 1.7418,                0.62836,                0.53581,                0.59483,                0.26471,                 2.9679,                 1.6301,                 1.7684,              0.0079705,              0.0079705,              0.0079705
                     43,                 3.1564,                 1.8126,                 1.7358,                0.60913,                0.54727,                0.60315,                0.27268,                 2.9635,                 1.6198,                 1.7664,               0.007921,               0.007921,               0.007921
                     44,                 3.1252,                 1.8052,                 1.7361,                0.62076,                0.53536,                0.60831,                0.27606,                 2.9321,                  1.603,                  1.765,              0.0078715,              0.0078715,              0.0078715
                     45,                 3.1109,                 1.7902,                 1.7283,                0.61477,                0.56094,                0.60994,                0.27672,                 2.8831,                 1.5992,                 1.7544,               0.007822,               0.007822,               0.007822
                     46,                 3.1019,                 1.7862,                 1.7267,                 0.6334,                0.56265,                0.62285,                 0.2846,                 2.8496,                 1.5839,                 1.7493,              0.0077725,              0.0077725,              0.0077725
                     47,                 3.0558,                 1.7691,                 1.7198,                0.63489,                  0.578,                0.62798,                0.29106,                 2.8472,                 1.5732,                 1.7433,               0.007723,               0.007723,               0.007723
                     48,                 3.0313,                 1.7668,                 1.7169,                0.64326,                 0.5623,                0.62669,                0.28858,                 2.8305,                 1.5701,                 1.7379,              0.0076735,              0.0076735,              0.0076735
                     49,                  3.042,                 1.7548,                 1.7126,                0.65744,                0.55489,                0.62949,                0.29039,                 2.8089,                 1.5611,                 1.7344,               0.007624,               0.007624,               0.007624
                     50,                 3.0525,                 1.7442,                 1.7089,                0.64934,                0.56495,                0.63426,                0.29478,                 2.7944,                 1.5529,                 1.7312,              0.0075745,              0.0075745,              0.0075745
                     51,                 3.0418,                 1.7408,                 1.7039,                0.65367,                0.56377,                0.63616,                0.29647,                 2.7634,                 1.5405,                 1.7251,               0.007525,               0.007525,               0.007525
                     52,                 3.0443,                 1.7418,                 1.7043,                 0.6604,                 0.5519,                0.64156,                0.30098,                 2.7536,                 1.5308,                  1.723,              0.0074755,              0.0074755,              0.0074755
                     53,                 3.0067,                 1.7147,                 1.6963,                0.67589,                0.55509,                 0.6461,                0.30102,                 2.7361,                 1.5131,                  1.722,               0.007426,               0.007426,               0.007426
                     54,                 2.9895,                 1.7022,                 1.6897,                0.67447,                0.56397,                0.64756,                0.30614,                 2.7142,                 1.5022,                 1.7157,              0.0073765,              0.0073765,              0.0073765
                     55,                 2.9561,                 1.7037,                 1.6884,                 0.6853,                0.57074,                0.64591,                 0.3069,                   2.69,                 1.4956,                 1.7106,               0.007327,               0.007327,               0.007327
                     56,                 2.9783,                 1.6858,                 1.6827,                0.68071,                0.58478,                0.64426,                0.30755,                 2.6898,                 1.4895,                 1.7078,              0.0072775,              0.0072775,              0.0072775
                     57,                 2.9449,                  1.687,                 1.6831,                 0.6822,                0.58374,                0.64419,                0.31099,                 2.6833,                 1.4867,                 1.7047,               0.007228,               0.007228,               0.007228
                     58,                 2.9238,                 1.6757,                 1.6795,                0.69141,                0.57962,                0.64897,                0.31473,                 2.6765,                 1.4797,                 1.6999,              0.0071785,              0.0071785,              0.0071785
                     59,                 2.9329,                 1.6807,                 1.6849,                0.68958,                0.58492,                0.64797,                0.31634,                 2.6684,                 1.4718,                 1.6974,               0.007129,               0.007129,               0.007129
                     60,                 2.9083,                 1.6582,                 1.6759,                0.68606,                0.58788,                0.65051,                0.31781,                 2.6504,                 1.4619,                 1.6941,              0.0070795,              0.0070795,              0.0070795
                     61,                 2.8901,                 1.6467,                 1.6695,                0.67405,                0.59795,                0.65241,                0.31821,                 2.6383,                 1.4541,                 1.6919,                0.00703,                0.00703,                0.00703
