                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 8.8497,                 4.5039,                 4.0348,                0.41831,                0.01501,                0.00339,                0.00089,                 7.8261,                  4.106,                 3.6854,              0.0033297,              0.0033297,              0.0033297
                      1,                 5.9105,                 3.6163,                 3.0667,                0.46241,                0.07672,                0.02974,                0.00927,                 5.4695,                 3.6253,                 2.9362,              0.0066521,              0.0066521,              0.0066521
                      2,                 4.7351,                 3.0849,                 2.5029,                0.46896,                0.07652,                0.04541,                0.01503,                 4.8446,                 3.1574,                 2.6348,              0.0099634,              0.0099634,              0.0099634
                      3,                 4.3912,                 2.8706,                 2.3321,                0.32879,                0.16614,                0.10289,                0.03487,                 4.2541,                 2.8067,                 2.4454,              0.0099505,              0.0099505,              0.0099505
                      4,                 4.1649,                 2.7249,                 2.2253,                0.18607,                0.23125,                0.11929,                0.04112,                    4.1,                 2.6851,                 2.3105,              0.0099505,              0.0099505,              0.0099505
                      5,                 4.0115,                 2.6258,                 2.1557,                0.24857,                0.19192,                0.15362,                0.05524,                 4.1199,                 2.5182,                 2.2909,               0.009934,               0.009934,               0.009934
                      6,                 3.9312,                 2.5449,                 2.1211,                0.20466,                0.23506,                0.15951,                0.05482,                 4.1013,                 2.5727,                 2.2758,              0.0099175,              0.0099175,              0.0099175
                      7,                 3.8647,                 2.4986,                 2.0959,                0.27527,                0.23898,                0.18672,                0.06305,                 3.9725,                   2.44,                  2.244,               0.009901,               0.009901,               0.009901
                      8,                 3.8012,                 2.4506,                 2.0632,                0.22189,                0.28548,                0.20365,                0.07295,                  3.891,                 2.4214,                 2.2004,              0.0098845,              0.0098845,              0.0098845
                      9,                 3.7267,                 2.4046,                 2.0417,                0.26488,                0.30154,                0.23117,                0.08543,                 3.6692,                 2.3275,                 2.1513,               0.009868,               0.009868,               0.009868
                     10,                 3.6728,                 2.3756,                 2.0247,                 0.2498,                0.27717,                0.22644,                0.07944,                  3.784,                  2.327,                  2.146,              0.0098515,              0.0098515,              0.0098515
