                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 8.8703,                  4.495,                 4.0449,                0.60702,                0.00686,                0.00352,                0.00094,                 8.1002,                 3.9908,                 3.7814,              0.0033297,              0.0033297,              0.0033297
                      1,                 5.6879,                 3.5494,                  2.973,                0.47491,                0.08521,                0.02975,                0.00947,                  5.773,                 3.3954,                  3.014,              0.0066521,              0.0066521,              0.0066521
                      2,                 4.6908,                 3.0328,                 2.4753,                 0.4647,                0.07088,                0.03208,                0.01001,                 5.2792,                 3.4077,                 2.7277,              0.0099634,              0.0099634,              0.0099634
                      3,                 4.3607,                 2.8262,                 2.3186,                0.34715,                0.16594,                0.09459,                0.03121,                 4.0845,                 2.7705,                 2.3998,              0.0099505,              0.0099505,              0.0099505
                      4,                 4.1151,                 2.6931,                 2.2213,                0.22487,                0.23194,                 0.1236,                0.04173,                 4.0538,                  2.757,                 2.3585,              0.0099505,              0.0099505,              0.0099505
                      5,                 3.9676,                 2.5897,                  2.156,                0.20428,                0.24031,                0.15125,                0.05268,                  4.035,                 2.5294,                 2.2871,               0.009934,               0.009934,               0.009934
                      6,                 3.9156,                 2.5198,                  2.117,                0.20196,                0.21441,                0.15793,                0.05354,                 3.9916,                 2.5099,                 2.2913,              0.0099175,              0.0099175,              0.0099175
                      7,                  3.843,                 2.4687,                 2.0849,                 0.2366,                0.27032,                0.20639,                0.07351,                 3.7101,                 2.4292,                 2.2163,               0.009901,               0.009901,               0.009901
                      8,                 3.7636,                  2.427,                 2.0579,                0.44166,                0.22357,                0.22543,                0.08043,                 3.6272,                   2.37,                 2.2229,              0.0098845,              0.0098845,              0.0098845
                      9,                 3.7143,                 2.3831,                 2.0371,                 0.2392,                0.25357,                0.21862,                0.08084,                 3.6046,                 2.3016,                 2.1478,               0.009868,               0.009868,               0.009868
                     10,                 3.6831,                 2.3441,                 2.0194,                 0.2798,                0.28057,                0.22994,                0.08132,                 3.6572,                 2.2623,                 2.1447,              0.0098515,              0.0098515,              0.0098515
                     11,                 3.6599,                 2.3117,                 2.0116,                0.33733,                0.31657,                0.29187,                0.10554,                  3.611,                 2.1796,                 2.1289,               0.009835,               0.009835,               0.009835
                     12,                 3.6669,                 2.2844,                 1.9835,                0.27695,                0.30328,                0.25183,                 0.0969,                 3.6242,                  2.184,                 2.0809,              0.0098185,              0.0098185,              0.0098185
                     13,                 3.5867,                 2.2594,                 1.9776,                0.27167,                0.31705,                0.27809,                0.10625,                 3.4703,                 2.1976,                  2.087,               0.009802,               0.009802,               0.009802
                     14,                 3.6073,                 2.2233,                 1.9607,                 0.3929,                   0.33,                0.31962,                0.11505,                 3.5428,                 2.1156,                 2.0976,              0.0097855,              0.0097855,              0.0097855
                     15,                 3.5446,                 2.2086,                 1.9503,                0.40117,                0.37221,                0.35596,                0.13863,                 3.4624,                 2.0638,                 2.0589,               0.009769,               0.009769,               0.009769
                     16,                 3.5513,                 2.1889,                 1.9418,                0.35482,                0.36111,                0.34697,                0.13839,                 3.3735,                 2.0764,                 2.0418,              0.0097525,              0.0097525,              0.0097525
                     17,                 3.5127,                 2.1716,                 1.9369,                 0.4204,                0.33782,                0.36977,                0.14421,                 3.3626,                  2.041,                 2.0413,               0.009736,               0.009736,               0.009736
                     18,                 3.4729,                 2.1517,                 1.9301,                0.42781,                0.38979,                0.38612,                0.14902,                 3.4428,                 1.9839,                 2.0121,              0.0097195,              0.0097195,              0.0097195
                     19,                 3.4769,                 2.1294,                 1.9186,                 0.4092,                0.35615,                0.38376,                0.15152,                   3.36,                 1.9881,                 1.9954,               0.009703,               0.009703,               0.009703
                     20,                 3.4581,                 2.1017,                 1.9041,                0.48083,                0.36927,                0.41439,                0.16414,                 3.3297,                 1.9182,                 2.0083,              0.0096865,              0.0096865,              0.0096865
                     21,                 3.4143,                  2.076,                 1.9064,                0.48998,                0.41911,                0.43771,                0.17304,                 3.2377,                 1.9401,                 1.9671,                0.00967,                0.00967,                0.00967
                     22,                 3.4099,                 2.0829,                  1.896,                0.49204,                0.40906,                 0.4608,                0.18337,                  3.274,                 1.8954,                 1.9588,              0.0096535,              0.0096535,              0.0096535
                     23,                 3.3525,                 2.0384,                 1.8769,                0.49181,                0.43397,                0.46988,                0.18807,                 3.2786,                 1.8792,                 1.9589,               0.009637,               0.009637,               0.009637
                     24,                 3.3564,                 2.0335,                 1.8834,                0.46717,                0.43305,                0.46231,                0.18898,                 3.1985,                 1.8497,                 1.9542,              0.0096205,              0.0096205,              0.0096205
                     25,                 3.3444,                 2.0238,                  1.873,                0.49639,                0.44595,                0.47597,                0.19309,                 3.1733,                 1.8265,                 1.9388,               0.009604,               0.009604,               0.009604
                     26,                 3.3216,                 2.0056,                 1.8699,                0.51439,                 0.4656,                0.49639,                0.20862,                 3.1275,                 1.8174,                 1.9033,              0.0095875,              0.0095875,              0.0095875
