                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 7.4605,                   6.82,                 3.5208,                0.46495,                0.08975,                0.03924,                0.01218,                  7.077,                 8.6974,                 3.6205,               0.084017,              0.0039957,              0.0039957
                      1,                 6.2583,                 6.0841,                 3.1697,                0.00772,                0.25994,                 0.0158,                0.00505,                 9.1297,                 8.2757,                 3.6368,               0.068017,              0.0079952,              0.0079952
                      2,                 5.9306,                 5.8686,                 3.0878,                0.28543,                 0.1384,                0.06859,                 0.0213,                 7.1361,                 6.2104,                 3.3732,               0.052014,               0.011993,               0.011993
                      3,                  5.796,                 5.6867,                 3.0322,                0.44625,                0.14752,                0.06212,                0.03387,                 7.9717,                 8.1177,                 3.4328,               0.036008,               0.015987,               0.015987
                      4,                 5.5743,                 5.4873,                 2.9624,                0.22869,                0.16976,                0.13311,                0.04607,                 6.0527,                 5.3622,                  3.151,               0.019998,               0.019976,               0.019976
                      5,                 5.5486,                 5.3623,                 2.9436,                  0.313,                0.25252,                0.13418,                0.04519,                 6.3321,                 5.3762,                 3.1498,               0.019969,               0.019969,               0.019969
                      6,                 5.4045,                 5.2205,                 2.9006,                 0.2166,                0.22462,                0.16477,                0.05424,                 6.1316,                  4.997,                 3.1135,               0.019969,               0.019969,               0.019969
                      7,                 5.3811,                 5.1379,                 2.8709,                0.24358,                0.28854,                0.19607,                 0.0667,                 5.6126,                  4.885,                 3.0429,               0.019956,               0.019956,               0.019956
                      8,                 5.3378,                 5.0364,                 2.8674,                0.32174,                0.24396,                0.21388,                0.07495,                 5.6728,                 4.9061,                 3.0046,                0.01994,                0.01994,                0.01994
                      9,                 5.3021,                 4.9952,                 2.8333,                0.28253,                0.29969,                0.23525,                0.08225,                 5.7477,                  4.577,                 3.0105,               0.019921,               0.019921,               0.019921
                     10,                 5.3202,                 4.9419,                 2.8262,                0.27253,                0.26085,                 0.2255,                0.08121,                 5.5661,                 4.6197,                 2.9352,                 0.0199,                 0.0199,                 0.0199
                     11,                 5.2043,                 4.8757,                 2.7932,                0.34283,                0.30094,                0.25828,                0.09216,                 5.3125,                 4.5329,                  2.924,               0.019877,               0.019877,               0.019877
                     12,                 5.2338,                 4.8279,                 2.7875,                0.33524,                0.34131,                0.29342,                0.10799,                 5.5059,                 4.3498,                 2.8923,               0.019851,               0.019851,               0.019851
                     13,                 5.2049,                 4.7733,                 2.7667,                0.31538,                0.33353,                0.28086,                0.10317,                 5.4574,                 4.4402,                 2.9025,               0.019823,               0.019823,               0.019823
                     14,                 5.1522,                 4.7634,                  2.776,                 0.3172,                0.34566,                  0.298,                0.10434,                  5.335,                 4.2771,                 2.8724,               0.019792,               0.019792,               0.019792
                     15,                 5.1336,                 4.6938,                 2.7549,                0.35849,                0.35605,                0.31047,                0.11053,                 5.1437,                 4.2786,                  2.833,               0.019759,               0.019759,               0.019759
                     16,                 5.1091,                 4.6809,                 2.7417,                0.30002,                0.35569,                0.30842,                0.10986,                 5.3273,                 4.2431,                 2.8338,               0.019724,               0.019724,               0.019724
                     17,                 5.1096,                 4.6323,                 2.7393,                 0.3838,                0.34756,                  0.337,                0.11885,                 5.3032,                 4.1437,                 2.8546,               0.019686,               0.019686,               0.019686
                     18,                 5.1098,                 4.6617,                 2.7366,                0.36502,                0.37636,                0.34906,                0.12623,                 5.2253,                 4.1243,                  2.815,               0.019646,               0.019646,               0.019646
                     19,                 5.0572,                 4.5841,                 2.7173,                0.34448,                0.38239,                0.35009,                0.13336,                  5.263,                 4.0784,                 2.8188,               0.019603,               0.019603,               0.019603
                     20,                 5.0659,                  4.568,                 2.7172,                0.39844,                0.36432,                0.36281,                0.13816,                 5.0778,                 4.0747,                 2.7856,               0.019558,               0.019558,               0.019558
                     21,                 5.0131,                  4.549,                 2.7158,                0.38221,                0.39277,                 0.3738,                0.13504,                 5.1152,                 4.1468,                 2.8068,               0.019511,               0.019511,               0.019511
                     22,                 5.0038,                 4.5319,                 2.7064,                0.41576,                0.39317,                0.39656,                0.14847,                 4.9558,                 4.0637,                 2.7591,               0.019461,               0.019461,               0.019461
                     23,                  5.031,                 4.5097,                 2.7001,                0.47929,                0.38575,                0.39807,                0.14906,                 5.0709,                 4.0881,                 2.7908,               0.019409,               0.019409,               0.019409
                     24,                  4.964,                 4.4838,                  2.697,                 0.4334,                0.40872,                0.40968,                0.15832,                 4.9541,                 4.0458,                 2.7657,               0.019355,               0.019355,               0.019355
                     25,                  4.949,                 4.4829,                 2.6899,                0.45667,                 0.3976,                0.41341,                0.15556,                 4.9417,                 4.0279,                  2.768,               0.019298,               0.019298,               0.019298
                     26,                 4.9352,                 4.4398,                 2.6782,                0.47666,                0.40966,                 0.4285,                0.16402,                  4.811,                 3.9966,                 2.7429,                0.01924,                0.01924,                0.01924
                     27,                  4.869,                 4.4109,                 2.6704,                0.54076,                0.39996,                0.44601,                0.17132,                 4.7671,                 3.9712,                 2.7326,               0.019178,               0.019178,               0.019178
                     28,                 4.8578,                 4.3892,                 2.6686,                0.49227,                0.42285,                0.44774,                0.17162,                 4.8894,                 3.9472,                 2.7347,               0.019115,               0.019115,               0.019115
                     29,                  4.838,                 4.3766,                 2.6647,                0.50712,                0.39382,                0.43187,                0.16866,                 4.8392,                 3.9452,                 2.7448,               0.019049,               0.019049,               0.019049
                     30,                 4.8111,                 4.3434,                 2.6597,                0.53084,                0.40336,                0.46798,                0.18144,                 4.7855,                 3.8819,                 2.7109,               0.018981,               0.018981,               0.018981
                     31,                 4.8216,                 4.3227,                 2.6624,                0.52279,                0.44588,                0.47242,                 0.1907,                 4.7539,                 3.8567,                 2.6983,               0.018911,               0.018911,               0.018911
