                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                 3.2911,                 1.9256,                 1.7951,                0.52183,                0.52739,                0.56078,                0.24404,                 3.0239,                 1.7005,                  1.829,              0.0083665,              0.0083665,              0.0083665
                     35,                 3.2978,                 1.9112,                  1.782,                0.59172,                 0.4808,                 0.5633,                0.24549,                 3.0899,                 1.6914,                 1.8333,               0.008317,               0.008317,               0.008317
                     36,                 3.2469,                 1.8985,                 1.7804,                0.62555,                0.48578,                0.57408,                0.25363,                 3.0151,                  1.678,                 1.8101,              0.0082675,              0.0082675,              0.0082675
                     37,                 3.2043,                 1.8786,                 1.7742,                  0.632,                0.47564,                 0.5835,                0.26048,                 2.9401,                 1.6668,                  1.808,               0.008218,               0.008218,               0.008218
                     38,                 3.2177,                 1.8736,                 1.7708,                0.59694,                0.50276,                0.58227,                0.26373,                 2.9281,                  1.658,                 1.7967,              0.0081685,              0.0081685,              0.0081685
                     39,                 3.2063,                 1.8602,                 1.7732,                0.60616,                0.52396,                0.59837,                0.27481,                 2.8914,                 1.6437,                 1.7969,               0.008119,               0.008119,               0.008119
                     40,                 3.1588,                 1.8449,                 1.7616,                 0.6052,                0.51287,                0.60079,                0.27797,                 2.8859,                  1.628,                 1.7913,              0.0080695,              0.0080695,              0.0080695
                     41,                 3.1764,                 1.8376,                 1.7589,                  0.655,                0.49067,                 0.5981,                0.27416,                 2.8989,                 1.6276,                  1.798,                0.00802,                0.00802,                0.00802
                     42,                 3.1341,                 1.8321,                 1.7552,                  0.645,                0.50932,                0.59892,                0.27243,                 2.8872,                   1.62,                 1.7944,              0.0079705,              0.0079705,              0.0079705
                     43,                 3.1178,                 1.8122,                 1.7503,                0.63964,                0.53994,                0.61651,                0.27618,                 2.8763,                 1.6057,                 1.7854,               0.007921,               0.007921,               0.007921
                     44,                 3.0905,                 1.8002,                 1.7448,                0.62531,                0.56198,                0.61669,                0.27812,                 2.8396,                  1.591,                 1.7728,              0.0078715,              0.0078715,              0.0078715
